symbol,total_samples,date_range,distribution,balance_ratio
DOGEUSDT,384,2025-05-31 15:00:00 to 2025-07-11 01:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
SOLUSDT,285,2025-05-31 15:00:00 to 2025-07-11 01:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
XRPUSDT,177,2025-05-31 23:00:00 to 2025-07-11 03:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
DOTUSDT,348,2025-05-31 15:00:00 to 2025-07-11 00:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
LTCUSDT,183,2025-05-31 23:00:00 to 2025-07-11 01:00:00,"{'hold': 33.33, 'sell': 33.33, 'buy': 33.33}",1.0
ADAUSDT,342,2025-05-31 15:00:00 to 2025-07-11 03:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
BCHUSDT,117,2025-06-02 04:00:00 to 2025-07-11 00:00:00,"{'hold': 33.33, 'sell': 33.33, 'buy': 33.33}",1.0
BTCUSDT,15,2025-06-05 20:00:00 to 2025-07-10 00:00:00,"{'buy': 33.33, 'hold': 33.33, 'sell': 33.33}",1.0
ETHUSDT,267,2025-05-31 15:00:00 to 2025-07-11 00:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
AVAXUSDT,453,2025-05-31 13:00:00 to 2025-07-11 01:00:00,"{'hold': 33.33, 'buy': 33.33, 'sell': 33.33}",1.0
